In (Grams),Out (Grams),Time (Seconds),Temp (F),Humidity (%),Channeling,Coffee,Roast Date,Prep Method,Grinder,Grind Setting
18,36,33,55.51,29.7,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,None,MC3,8.75
18,36,32,55.4,29.8,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,None,MC3,8.75
18,36,30,55.29,30,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,None,MC3,8.75
18,36,37,55.29,30.1,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,None,MC3,8.75
18,36,31,54.39,29.1,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,None,MC3,8.75
18,36,37,54.5,29.5,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,None,MC3,8.75
18,36,37,54.5,28.8,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,None,MC3,8.75
18,36,35,54.05,28.3,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,None,MC3,8.75
18,36,38,53.71,27.9,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,None,MC3,8.75
18,36,33,53.6,28.3,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,None,MC3,8.75
18,36,39,54.72,29.3,yes - slower center,Candlestick Coffee - Columbia,30/12/2020,OCD - 9,MC3,8.75
18,36,34,54.95,29.3,yes - slower center,Candlestick Coffee - Columbia,30/12/2020,OCD - 9,MC3,8.75
18,36,31,55.29,29.3,yes - slower center,Candlestick Coffee - Columbia,30/12/2020,OCD - 9,MC3,8.75
18,36,37,55.63,29.1,yes - slower center,Candlestick Coffee - Columbia,30/12/2020,OCD - 9,MC3,8.75
18,36,31,56.3,29.1,no,Candlestick Coffee - Columbia,30/12/2020,OCD - 9,MC3,8.75
18,36,32,56.64,29.2,yes - slower center,Candlestick Coffee - Columbia,30/12/2020,OCD - 9,MC3,8.75
18,36,40,56.64,29.2,no,Candlestick Coffee - Columbia,30/12/2020,OCD - 9,MC3,8.75
18,36,33,56.86,29.3,no,Candlestick Coffee - Columbia,30/12/2020,OCD - 9,MC3,8.75
18,36,31,56.97,29.1,no,Candlestick Coffee - Columbia,30/12/2020,OCD - 9,MC3,8.75
18,36,36,57.09,29.2,yes,Candlestick Coffee - Columbia,30/12/2020,OCD - 9,MC3,8.75
18,36,34,56.53,29.2,no,Candlestick Coffee - Columbia,30/12/2020,WDT,MC3,8.75
18,36,31,55.85,29.4,"yes - went to one side, bubbles",Candlestick Coffee - Columbia,30/12/2020,WDT,MC3,8.75
18,36,32,56.07,29.4,no,Candlestick Coffee - Columbia,30/12/2020,WDT,MC3,8.75
18,36,20,56.3,29.3,yes,Candlestick Coffee - Columbia,30/12/2020,WDT,MC3,8.75
18,36,22,56.4,29.3,yes,Candlestick Coffee - Columbia,30/12/2020,WDT,MC3,8.75
18,36,35,56.64,29.1,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,WDT,MC3,8.75
18,36,23,56.75,29.2,yes,Candlestick Coffee - Columbia,30/12/2020,WDT,MC3,8.75
18,36,24,56.86,29.4,yes,Candlestick Coffee - Columbia,30/12/2020,WDT,MC3,8.75
18,36,28,56.97,29.1,yes,Candlestick Coffee - Columbia,30/12/2020,WDT,MC3,8.75
18,36,27,56.97,28.9,yes,Candlestick Coffee - Columbia,30/12/2020,WDT,MC3,8.75
18,36,28,56.3,20.4,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,RDT,MC3,8.75
18,36,27,56.53,20.6,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,RDT,MC3,8.75
18,36,21,56.64,20.7,yes,Candlestick Coffee - Columbia,30/12/2020,RDT,MC3,8.75
18,36,37,56.86,20.9,yes - right side,Candlestick Coffee - Columbia,30/12/2020,RDT,MC3,8.75
18,36,29,56.97,20.9,yes - fast edges,Candlestick Coffee - Columbia,30/12/2020,RDT,MC3,8.75
18,36,32,57.31,20.8,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,RDT,MC3,8.75
18,36,29,57.54,20.4,yes - slow center,Candlestick Coffee - Columbia,30/12/2020,RDT,MC3,8.75
18,36,33,57.54,20.3,yes - fast edge,Candlestick Coffee - Columbia,30/12/2020,RDT,MC3,8.75
18,36,35,57.65,20.4,yes - slow edge,Candlestick Coffee - Columbia,30/12/2020,RDT,MC3,8.75
18,36,38,57.99,20.4,yes - slow edge,Candlestick Coffee - Columbia,30/12/2020,RDT,MC3,8.75
18,36,37,58.21,19.7,yes - entire side slow,Candlestick Coffee - Columbia,30/12/2020,DT,MC3,8.75
18,36,30,58.32,19.9,yes - fast edge,Candlestick Coffee - Columbia,30/12/2020,DT,MC3,8.75
18,36,40,58.66,19.9,yes - entire side slow,Candlestick Coffee - Columbia,30/12/2020,DT,MC3,8.75
18,36,23,58.78,19.3,yes - spray,Candlestick Coffee - Columbia,30/12/2020,DT,MC3,8.75
